-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2023 in LST
Location: Latitude  31.93   Longitude -4.42 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1307.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS10M,WD10M,RH2M,ALLSKY_SFC_SW_DWN,T2M
2019,1,1,0,88.11,2.44,346.8,46.73,0.0,2.4
2019,1,1,1,88.12,2.48,352.4,46.25,0.0,2.37
2019,1,1,2,88.12,2.56,356.2,46.52,0.0,2.35
2019,1,1,3,88.1,2.58,356.9,47.34,0.0,2.39
2019,1,1,4,88.08,2.52,354.1,47.71,0.0,2.45
2019,1,1,5,88.1,2.37,349.3,47.6,0.0,2.6
2019,1,1,6,88.13,2.22,342.1,47.2,0.0,2.78
2019,1,1,7,88.18,2.08,334.3,47.29,20.85,3.15
2019,1,1,8,88.24,1.77,327.9,52.37,187.48,5.23
2019,1,1,9,88.29,1.72,325.7,37.27,373.12,8.9
2019,1,1,10,88.3,0.82,256.0,27.6,525.95,11.71
2019,1,1,11,88.24,1.23,194.6,21.96,620.25,13.88
2019,1,1,12,88.17,1.43,167.9,19.56,639.65,15.02
2019,1,1,13,88.13,1.53,159.3,18.65,601.08,15.49
2019,1,1,14,88.13,1.56,158.5,18.72,496.23,15.43
2019,1,1,15,88.14,1.47,160.1,20.47,335.5,14.76
2019,1,1,16,88.17,1.3,166.2,36.84,141.27,12.31
2019,1,1,17,88.19,1.45,178.0,31.35,6.2,10.11
2019,1,1,18,88.22,1.11,210.3,30.63,0.0,9.39
2019,1,1,19,88.24,1.24,268.6,31.73,0.0,8.58
2019,1,1,20,88.24,1.95,302.6,35.92,0.0,7.05
2019,1,1,21,88.22,2.72,317.7,42.16,0.0,5.12
2019,1,1,22,88.19,3.2,328.1,45.34,0.0,3.86
2019,1,1,23,88.16,3.48,339.0,47.1,0.0,3.04
2019,1,2,0,88.15,3.71,347.5,48.15,0.0,2.39
2019,1,2,1,88.16,3.9,352.2,48.8,0.0,1.86
2019,1,2,2,88.15,4.06,353.3,49.24,0.0,1.5
