group_value,MAE,RMSE,mean_actual,n,group_type
0,0.8558014159257644,1.4962662072623518,0.0,183,hour_all
1,0.9678065688019999,1.6824507822963386,0.0,183,hour_all
2,1.0148915970348718,1.7368660346634777,0.0,183,hour_all
3,0.9689952007224505,1.63023067385615,0.0,183,hour_all
4,2.536388206295274,3.8816664265283167,6.230754098360656,183,hour_all
5,20.35856989313134,32.78638490690307,151.46675409836067,183,hour_all
6,46.51697198644194,64.81576821341056,621.4302295081967,183,hour_all
7,57.1244713430909,88.21940947970043,1300.1787540983607,183,hour_all
8,56.117727104714305,86.1887121686059,1945.7976393442623,183,hour_all
9,77.07877027383753,130.53487791646242,2445.5982295081967,183,hour_all
10,88.0667912876145,140.42514959321747,2720.7633442622955,183,hour_all
11,104.04466075217307,154.8510720297385,2758.811606557377,183,hour_all
12,121.19819943772477,189.84958690778203,2537.4670819672133,183,hour_all
13,94.69437883602995,144.0152610726113,2126.2076065573774,183,hour_all
14,62.67367255633057,100.0643209416975,1511.1226229508197,183,hour_all
15,43.15137298400356,61.275135057640064,839.4784918032788,183,hour_all
16,17.74112388035118,26.54225219357395,307.50295081967215,183,hour_all
17,8.604106379230183,13.133280140068228,72.74104918032788,183,hour_all
18,2.4807176783398606,3.8721979417802843,1.2875409836065574,183,hour_all
19,0.8770810899426975,1.299045407226621,0.0,183,hour_all
20,0.8607261849718633,1.4214662596340204,0.0,183,hour_all
21,0.7733025959995677,1.4101381683376457,0.0,183,hour_all
22,0.8650942774708538,1.5926695370405608,0.0,183,hour_all
23,0.8660361515448018,1.5736051416514973,0.0,183,hour_all
4,6.03791672452376,7.306115373604052,31.673000000000002,36,hour_daylight
5,27.21599021670313,39.045614799172256,216.550125,128,hour_daylight
6,46.51697198644194,64.81576821341056,621.4302295081967,183,hour_daylight
7,57.1244713430909,88.21940947970043,1300.1787540983607,183,hour_daylight
8,56.117727104714305,86.1887121686059,1945.7976393442623,183,hour_daylight
9,77.07877027383753,130.53487791646242,2445.5982295081967,183,hour_daylight
10,88.0667912876145,140.42514959321747,2720.7633442622955,183,hour_daylight
11,104.04466075217307,154.8510720297385,2758.811606557377,183,hour_daylight
12,121.19819943772477,189.84958690778203,2537.4670819672133,183,hour_daylight
13,94.69437883602995,144.0152610726113,2126.2076065573774,183,hour_daylight
14,62.67367255633057,100.0643209416975,1511.1226229508197,183,hour_daylight
15,43.15137298400356,61.275135057640064,839.4784918032788,183,hour_daylight
16,21.668812504477387,30.639830116450664,419.9480597014925,134,hour_daylight
17,15.552672246195362,19.267884879810435,170.66169230769233,78,hour_daylight
18,4.885220479971457,5.916530225316307,13.86,17,hour_daylight
7,37.71502911490214,83.61263086655798,1118.516951612903,744,month_all
8,45.99308619962495,99.36676931278168,980.3660322580645,744,month_all
9,43.21757674758123,95.25255936663423,811.2948000000001,720,month_all
10,35.70478385161431,81.43944938107083,741.4371774193548,744,month_all
11,29.06870865257533,70.86799532558054,590.66725,720,month_all
12,10.30662345560214,20.891682722973272,580.1703,720,month_all
