target,model,feature_set,n_features,train_rows_used,train_time_sec,artifact_key,val_all_MAE,val_all_MSE,val_all_RMSE,val_all_MaxError,val_all_R2,val_all_NRMSE_range,val_all_NRMSE_mean,val_daylight_n,val_daylight_MAE,val_daylight_MSE,val_daylight_RMSE,val_daylight_MaxError,val_daylight_R2,val_daylight_NRMSE_range,val_daylight_NRMSE_mean,val_all_skill_vs_persistence,val_daylight_skill_vs_persistence,test_all_MAE,test_all_MSE,test_all_RMSE,test_all_MaxError,test_all_R2,test_all_NRMSE_range,test_all_NRMSE_mean,test_daylight_n,test_daylight_MAE,test_daylight_MSE,test_daylight_RMSE,test_daylight_MaxError,test_daylight_R2,test_daylight_NRMSE_range,test_daylight_NRMSE_mean,test_all_skill_vs_persistence,test_daylight_skill_vs_persistence,params
target_1h,HGBR_tuned_4,full,67,17208,2.703237295150757,target_1h__HGBR_tuned_4__full,33.6107884910941,6058.368897169265,77.83552464761361,1150.641842929424,0.9960284350041493,0.01988318840241085,0.08198185765062779,2302,61.610097052429055,11422.798523503254,106.87749306333515,1150.641842929424,0.9916603652420974,0.027383842196737625,0.059654286940912904,0.8050144555560379,0.8041397417374612,33.76823573673849,6362.661703921784,79.76629428475277,886.0057860527115,0.9945948767540277,0.021111241930338604,0.09895496152841925,2223,65.34991175871455,12564.371840372778,112.09090882124552,886.0057860527115,0.9882918402717132,0.029742055977243893,0.07038266052412578,0.7803665173788306,0.7784294000372545,"{""learning_rate"": 0.05, ""max_iter"": 700, ""max_leaf_nodes"": 63, ""l2_regularization"": 0.1}"
target_1h,HGBR_tuned_5,full,67,17208,3.3568501472473145,target_1h__HGBR_tuned_5__full,33.69921885464763,6084.218974887195,78.00140367254423,1146.581543878929,0.9960114889803025,0.019925562420182757,0.08215657312496492,2302,62.02052325867596,11473.240046246598,107.1132113525059,1146.581543878929,0.9916235385506833,0.02744423725512201,0.05978585445860421,0.8045989124973335,0.8037077719777772,33.85806728945038,6376.886725100855,79.85541137018114,878.0654757911489,0.9945827925043492,0.0211348279871747,0.09906551671766507,2223,65.65199866709764,12591.947737700644,112.2138482438805,878.0654757911489,0.9882661435624255,0.029774676563768452,0.07045985504185558,0.7801211368454964,0.7781863851315964,"{""learning_rate"": 0.03, ""max_iter"": 900, ""max_leaf_nodes"": 63, ""l2_regularization"": 1.0}"
target_1h,HGBR_tuned_3,full,67,17208,1.6209964752197266,target_1h__HGBR_tuned_3__full,34.52684355292027,6162.176418813882,78.49953132862566,1184.2211492466208,0.9959603839616546,0.020052809793142067,0.08268123626274929,2302,63.36708592465925,11611.657194710153,107.75739972136556,1184.2211492466208,0.9915224820136147,0.027609289336081404,0.060145411898608725,0.8033510543674711,0.8025272530801286,34.90350897740255,6429.846958272719,80.18632650441545,936.8998461391086,0.9945378024356092,0.02122240920828912,0.09947603715955035,2223,67.31341085079346,12687.422445833905,112.63845899973022,936.8998461391086,0.98817717507701,0.029887342229537667,0.07072647108590534,0.7792099745051165,0.7773470551545839,"{""learning_rate"": 0.03, ""max_iter"": 800, ""max_leaf_nodes"": 31, ""l2_regularization"": 0.1}"
target_1h,RandomForest,full,67,17208,8.191509008407593,target_1h__RandomForest__full,31.625290474881403,6167.404033782023,78.53282137922986,1294.7668129978038,0.9959569569975705,0.020061313780891692,0.08271629968914965,2302,59.660399650353334,11638.117657046936,107.88010779122783,1294.7668129978038,0.9915031635785605,0.027640729242885576,0.06021390211296276,0.8032676595593675,0.8023023822156905,32.25204219664237,6295.00267046494,79.34105286965216,821.0046009714288,0.9946523535509336,0.020998695967491928,0.09842742357208202,2223,63.689171964465736,12436.885163099807,111.52078354773072,821.0046009714288,0.9884106392375274,0.02959077967859277,0.07002467490331145,0.7815374035756983,0.7795563692110707,
target_1h,HGBR_A3_add_rolling,A3_add_rolling,29,17208,1.4341588020324707,target_1h__HGBR_A3_add_rolling__A3_add_rolling,35.57884534094117,6185.136945085773,78.64564161532267,1127.2285460888734,0.9959453321838617,0.02009013386041186,0.08283512990937808,2302,64.55048725577004,11643.74133954902,107.90616914499847,1127.2285460888734,0.9914990578020325,0.02764740660758261,0.060228448407335336,0.802985033916919,0.8022546230165001,35.121398195405796,6057.901975313248,77.83252517626065,936.8017607468075,0.9948537721613574,0.02059944345890584,0.09655600280216109,2223,67.50642847630743,11954.368114421357,109.33603301026317,936.8017607468075,0.9888602746629449,0.029011080812154838,0.06865285485987065,0.7856910776795408,0.7838749753535866,
target_1h,HGBR_tuned_1,full,67,17208,1.4099838733673096,target_1h__HGBR_tuned_1__full,34.79700726484721,6215.981672079183,78.84149714508968,1215.9228915443377,0.9959251119166391,0.02014016541625531,0.08304141875029153,2302,63.485353605039286,11714.491362750385,108.23350388281064,1215.9228915443377,0.9914474041419072,0.027731275367494923,0.06041115217232357,0.8024943968038929,0.8016547598980024,34.54670672836362,6390.455641137467,79.94032550057241,942.151664450462,0.9945712656203336,0.02115730167441401,0.09917085788440012,2223,66.48337526764917,12613.417028313495,112.30946989596868,942.151664450462,0.9882461373188233,0.0298000486885817,0.07051989654163868,0.7798873289903264,0.7779973693849547,"{""learning_rate"": 0.08, ""max_iter"": 400, ""max_leaf_nodes"": 31, ""l2_regularization"": 0.0}"
target_1h,HGBR_A2_add_target_lags,A2_add_target_lags,22,17208,0.6064987182617188,target_1h__HGBR_A2_add_target_lags__A2_add_target_lags,35.85329637187666,6223.26902685145,78.88769883100565,1123.7760273898393,0.9959203346896962,0.020151967698436038,0.08309008162055714,2302,65.85245856045378,11723.78687593308,108.27643730716798,1123.7760273898393,0.9914406176101592,0.027742275645325828,0.06043511570985201,0.8023786570960494,0.8015760814845992,34.9043838932269,6094.3881657497805,78.06656240510262,905.9242354512915,0.994822776900999,0.020661384615920743,0.09684634028347369,2223,67.25186957447433,12024.27919693326,109.65527436896622,905.9242354512915,0.9887951277434469,0.029095787899113507,0.06885330872728188,0.7850466649975367,0.7832439295343975,
target_1h,XGBoost,full,67,17208,2.129589080810547,target_1h__XGBoost__full,34.520205835184115,6227.957717705219,78.91741073872875,1128.300564453125,0.9959172610174277,0.020159557644822704,0.08312137629481432,2302,63.45521459659653,11740.925933108214,108.35555330996291,1128.300564453125,0.9914281046102458,0.02776254651876865,0.06047927476146403,0.8023042258831798,0.8014310960410229,33.94663818405986,6036.57844676398,77.69542101542393,870.2552929687497,0.9948718866400474,0.02056315696553124,0.09638591671401274,2223,65.22653017106703,11907.767930767615,109.12271959022839,870.2552929687497,0.9889036992288935,0.0289544805066877,0.06851891388120046,0.7860685888149952,0.7842966329434327,
target_1h,HGBR_A5_add_physical,A5_add_physical,56,17208,0.6691889762878418,target_1h__HGBR_A5_add_physical__A5_add_physical,35.06182514061434,6247.776063968942,79.04287484630694,1189.1438053323354,0.9959042690963954,0.020191607618148016,0.08325352393118352,2302,64.58123115224059,11773.43139586764,108.50544408400732,1189.1438053323354,0.9914043727999987,0.027800951099429486,0.060562937158366824,0.8019899261153673,0.8011564110266756,35.43406029951696,6652.969240652869,81.56573570227188,975.1584174197671,0.9943482585793887,0.021587488739161196,0.1011872785470285,2223,68.48628795139912,13126.665256298604,114.57165991770654,975.1584174197671,0.9877678649220926,0.030400295247069213,0.07194034137534906,0.7754118233085303,0.7735256882681076,
target_1h,HistGradientBoosting,full,67,17208,4.0329790115356445,target_1h__HistGradientBoosting__full,34.7825204445039,6280.219734706776,79.24783741343846,1240.9986725617414,0.9958830006412673,0.020243965578811453,0.0834694049453908,2302,63.541908776826304,11836.984461264567,108.79790651140566,1240.9986725617414,0.9913579735439789,0.0278758849768138,0.0607261767428986,0.8014764749897573,0.8006204537832887,34.46823789649697,6404.827946578681,80.0301689775717,916.626582408607,0.9945590562516993,0.021181079980724993,0.0992823142067699,2223,66.52883038464721,12643.50267109418,112.44333093204853,916.626582408607,0.9882181018932819,0.02983556720181463,0.07060394881634045,0.7796399483652003,0.7777327656772344,
