target,model,feature_set,n_features,train_time_sec,val_all_RMSE,val_daylight_RMSE,val_all_R2,val_daylight_R2,test_all_RMSE,test_daylight_RMSE,test_all_R2,test_daylight_R2,test_daylight_skill_vs_persistence
target_1h,HGBR_tuned_4,full,67,2.703237295150757,77.83552464761361,106.87749306333515,0.9960284350041493,0.9916603652420974,79.76629428475277,112.09090882124552,0.9945948767540277,0.9882918402717132,0.7784294000372545
target_1h,HGBR_tuned_5,full,67,3.3568501472473145,78.00140367254423,107.1132113525059,0.9960114889803025,0.9916235385506833,79.85541137018114,112.2138482438805,0.9945827925043492,0.9882661435624255,0.7781863851315964
target_1h,HGBR_tuned_3,full,67,1.6209964752197266,78.49953132862566,107.75739972136556,0.9959603839616546,0.9915224820136147,80.18632650441545,112.63845899973022,0.9945378024356092,0.98817717507701,0.7773470551545839
target_1h,RandomForest,full,67,8.191509008407593,78.53282137922986,107.88010779122783,0.9959569569975705,0.9915031635785605,79.34105286965216,111.52078354773072,0.9946523535509336,0.9884106392375274,0.7795563692110707
target_1h,HGBR_A3_add_rolling,A3_add_rolling,29,1.4341588020324707,78.64564161532267,107.90616914499847,0.9959453321838617,0.9914990578020325,77.83252517626065,109.33603301026317,0.9948537721613574,0.9888602746629449,0.7838749753535866
target_1h,HGBR_tuned_1,full,67,1.4099838733673096,78.84149714508968,108.23350388281064,0.9959251119166391,0.9914474041419072,79.94032550057241,112.30946989596868,0.9945712656203336,0.9882461373188233,0.7779973693849547
target_1h,HGBR_A2_add_target_lags,A2_add_target_lags,22,0.6064987182617188,78.88769883100565,108.27643730716798,0.9959203346896962,0.9914406176101592,78.06656240510262,109.65527436896622,0.994822776900999,0.9887951277434469,0.7832439295343975
target_1h,XGBoost,full,67,2.129589080810547,78.91741073872875,108.35555330996291,0.9959172610174277,0.9914281046102458,77.69542101542393,109.12271959022839,0.9948718866400474,0.9889036992288935,0.7842966329434327
target_1h,HGBR_A5_add_physical,A5_add_physical,56,0.6691889762878418,79.04287484630694,108.50544408400732,0.9959042690963954,0.9914043727999987,81.56573570227188,114.57165991770654,0.9943482585793887,0.9877678649220926,0.7735256882681076
target_1h,HistGradientBoosting,full,67,4.0329790115356445,79.24783741343846,108.79790651140566,0.9958830006412673,0.9913579735439789,80.0301689775717,112.44333093204853,0.9945590562516993,0.9882181018932819,0.7777327656772344
target_1h,HGBR_tuned_2,full,67,1.9548511505126953,79.24783741343846,108.79790651140566,0.9958830006412673,0.9913579735439789,80.0301689775717,112.44333093204853,0.9945590562516993,0.9882181018932819,0.7777327656772344
target_1h,HGBR_A6_full,A6_full,67,1.9808180332183838,79.24783741343846,108.79790651140566,0.9958830006412673,0.9913579735439789,80.0301689775717,112.44333093204853,0.9945590562516993,0.9882181018932819,0.7777327656772344
target_1h,HGBR_A4_add_weather_lags,A4_add_weather_lags,41,0.5749433040618896,79.47130740224274,109.00793362542043,0.9958597489535161,0.9913245756255783,78.85421250024638,110.76711446319722,0.9947177790181669,0.9885667541456786,0.781046150255667
target_1h,HGBR_A1_weather_time,A1_weather_time,13,1.112271785736084,79.71472383705127,109.29995150189175,0.9958343473687423,0.9912780327325421,80.04828364139303,112.37882501829718,0.9945565928801319,0.988231615973659,0.7778602748049712
target_1h,CatBoost,full,67,4.593708276748657,79.99088529562017,109.58868852821861,0.9958054346322937,0.9912318903286457,77.71328152635918,109.00914205714186,0.994869528682502,0.9889267857978956,0.7845211421602184
target_1h,MLP,lite,24,28.19412064552307,81.9559796853857,112.26735161252611,0.995596811759688,0.9907980160909557,82.06079103109407,115.1413684173302,0.9942794449887388,0.9876459136923832,0.7723995429331029
target_1h,Ridge,lite,24,0.01563286781311035,130.66893338359196,152.49096211736597,0.9888068930810735,0.9830229306360069,120.96251941787187,149.54006666491236,0.9875700776461978,0.9791616658551725,0.704403482513887
target_1h,SVR_RBF,lite,24,2.0768895149230957,240.7039819068702,322.54083087847516,0.9620184652522504,0.9240471779675473,176.5891041655332,241.6957745290281,0.9735092304286032,0.9455640290524266,0.5222388832955296
target_1h,SeasonalPersistence24h,baseline,0,0.0,263.73933391859845,362.2050437220568,0.9545194758659254,0.9043604991816988,247.90175442228534,348.71475709977085,0.9475321465605611,0.886077553699862,0.31021279794371626
target_1h,HGBR_A0_weather_only,A0_weather_only,6,1.35097074508667,300.47998899078164,401.863935748389,0.9408115360414553,0.8820949028203282,302.04287074356523,413.50907142945283,0.9224995994940319,0.8406625213294356,0.18261477215094268
target_1h,Persistence,baseline,0,0.0,399.1861287439345,545.6823860615577,0.8955383591334026,0.7826025803328884,363.17911701257384,505.89251841215514,0.8879508658257318,0.7615131862556153,0.0
target_1h,LinearRegression,paper,11,0.0144500732421875,583.1630394245867,685.6234616831044,0.7770610549406363,0.6568011254515391,532.7253189795342,579.1340672642157,0.7589131933997715,0.6874596576465397,-0.14477689664584048
target_24h,MLP,lite,24,8.268516540527344,214.09730936076508,293.7287548592078,0.9700951072696601,0.9372295047771292,203.02167557272122,285.5088954585438,0.9647460692564203,0.92352206289587,0.17922291072653063
target_24h,CatBoost,full,67,4.136908531188965,217.27481924391046,297.9884061001934,0.9692008575315427,0.9353957095671689,205.97986708854094,289.5859136346814,0.9637112274516246,0.9213222842983109,0.16750235432792582
target_24h,Ridge,lite,24,0.010382890701293945,220.48443386689013,300.16250643171935,0.9682841980080029,0.9344495748506877,217.406010035915,303.5417902975725,0.9595735298114434,0.913556198050561,0.1273821899203319
target_24h,RandomForest,full,67,20.08103060722351,226.88631881589941,311.40343041438337,0.9664156886236668,0.9294479867248626,211.11712272314463,297.0128355242709,0.961878529205677,0.9172348868822159,0.14615154029809174
target_24h,XGBoost,full,67,1.9931845664978027,227.70484838112174,312.40700051926393,0.9661729297052406,0.9289925133713062,209.9981098112727,295.4028528163593,0.9622815790708014,0.9181297253377908,0.1507798966883821
target_24h,HGBR_tuned_5,full,67,5.271459102630615,228.7550786021497,313.7175128307717,0.9658601727346646,0.9283955269695348,215.84641446987845,303.59787121128284,0.9601514604581837,0.9135242532219718,0.12722096927239013
target_24h,HGBR_tuned_3,full,67,2.6048851013183594,229.46955504545923,314.5390619441505,0.9656465801469949,0.9280200068591161,213.2794306434771,299.9321610432598,0.9610936332002973,0.9155999020910814,0.13775910300373295
target_24h,HistGradientBoosting,full,67,1.9696917533874512,230.04120395394,315.3759039456927,0.9654752061629637,0.9276364868538339,213.96482350616168,300.92504018685145,0.9608431731059436,0.9150401901973682,0.13490478754652568
target_24h,HGBR_tuned_2,full,67,1.9126343727111816,230.04120395394,315.3759039456927,0.9654752061629637,0.9276364868538339,213.96482350616168,300.92504018685145,0.9608431731059436,0.9150401901973682,0.13490478754652568
target_24h,HGBR_tuned_4,full,67,3.986467123031616,231.52354779351953,317.4739916294863,0.9650288295642027,0.9266704649505442,216.71990790069646,304.80726089196315,0.9598282874514052,0.9128339244024088,0.12374423226805997
target_24h,HGBR_tuned_1,full,67,1.261697769165039,231.99365378959658,317.9091900148677,0.9648866682346388,0.9264692845738968,216.63733632972088,304.6815888870588,0.959858892941596,0.9129057867144299,0.12410551243841295
target_24h,Persistence,baseline,0,0.0,263.1798315142469,361.21673383700215,0.9548118003113791,0.9050711217039566,247.25362393830136,347.8519310416777,0.9477112737205429,0.8864765151340528,0.0
target_24h,SeasonalPersistence24h,baseline,0,0.0,263.1798315142469,361.21673383700215,0.9548118003113791,0.9050711217039566,247.25362393830136,347.8519310416777,0.9477112737205429,0.8864765151340528,0.0
target_24h,SVR_RBF,lite,24,2.027708053588867,293.29263865852766,399.2877114111518,0.9438794193630659,0.8840062697129182,249.8172479166671,349.57431830040696,0.9466213518409111,0.8853495098031212,-0.0049514954640941244
target_24h,LinearRegression,paper,11,0.0036177635192871094,581.2386522939123,698.7812218294288,0.7795912638031087,0.644741008993663,513.0848310553409,583.999362145678,0.7748348973348186,0.6800208925563356,-0.678873422944162
