target,model,feature,base_daylight_RMSE,permuted_daylight_RMSE,importance_rmse_increase
target_1h,LSTM,Solar_Radiation_Wh_m2,144.95129839449524,292.55400142537786,147.60270303088262
target_1h,LSTM,sim_pv_dc_kWh_per_kWp,144.95129839449524,290.4339963743914,145.4826979798962
target_1h,LSTM,Solar_Energy_kJ_m2,144.95129839449524,288.3383564711778,143.38705807668256
target_1h,LSTM,pvlib_clear_sky_index_current,144.95129839449524,259.2226510405678,114.27135264607259
target_1h,LSTM,hour_sin,144.95129839449524,247.41735520421764,102.4660568097224
target_1h,LSTM,sim_pv_ac_kWh_per_kWp,144.95129839449524,239.82637762817083,94.87507923367559
target_1h,LSTM,sim_cell_temperature_C,144.95129839449524,236.10909323075637,91.15779483626113
target_1h,LSTM,clear_sky_index_current,144.95129839449524,202.29632890267683,57.345030508181594
target_1h,LSTM,Solar_Energy_kJ_m2_roll_mean_24h,144.95129839449524,190.71395465460833,45.76265626011309
target_1h,LSTM,Solar_Energy_kJ_m2_roll_mean_3h,144.95129839449524,182.34463635174467,37.39333795724943
target_1h,LSTM,hour_cos,144.95129839449524,182.29252975986154,37.3412313653663
target_1h,LSTM,solar_elevation_approx_deg,144.95129839449524,177.9457047195155,32.994406325020265
target_1h,LSTM,sun_up_by_geometry,144.95129839449524,177.51986574571026,32.56856735121502
target_1h,LSTM,Temperature_lag_3h,144.95129839449524,177.27603057273421,32.324732178238975
target_1h,LSTM,doy_cos,144.95129839449524,175.8444414194688,30.89314302497357
target_1h,LSTM,pvlib_solar_elevation_deg,144.95129839449524,169.20769527602755,24.25639688153231
target_1h,LSTM,Solar_Energy_kJ_m2_lag_12h,144.95129839449524,166.38122757878966,21.429929184294423
target_1h,LSTM,pvlib_solar_zenith_deg,144.95129839449524,166.10845125436876,21.15715285987352
target_1h,LSTM,Solar_Energy_kJ_m2_lag_24h,144.95129839449524,165.32006717085196,20.368768776356717
target_1h,LSTM,sim_pv_ac_lag_24h,144.95129839449524,164.5527318597294,19.60143346523415
target_1h,LSTM,Solar_Energy_kJ_m2_lag_2h,144.95129839449524,163.63861311782438,18.687314723329138
target_1h,LSTM,Solar_Energy_kJ_m2_lag_6h,144.95129839449524,162.28690354584992,17.335605151354684
target_1h,LSTM,clear_sky_ghi_proxy_Wh_m2,144.95129839449524,162.1955983045625,17.24429991006727
target_1h,LSTM,sim_pv_ac_lag_168h,144.95129839449524,161.7473857497394,16.79608735524417
target_1h,LSTM,Solar_Energy_kJ_m2_lag_3h,144.95129839449524,157.8001232770431,12.84882488254786
target_1h,LSTM,Solar_Energy_kJ_m2_lag_72h,144.95129839449524,157.0201644097025,12.068866015207249
target_1h,LSTM,Solar_Energy_kJ_m2_lag_48h,144.95129839449524,156.10397551592015,11.152677121424915
target_1h,LSTM,Temperature_lag_24h,144.95129839449524,155.9341307251238,10.982832330628554
target_1h,LSTM,Solar_Energy_kJ_m2_roll_std_6h,144.95129839449524,155.50436463930845,10.553066244813209
target_1h,LSTM,is_daylight_geometry,144.95129839449524,153.91228097320564,8.9609825787104
target_1h,LSTM,Wind_Speed,144.95129839449524,152.6426970698238,7.691398675328571
target_1h,LSTM,pvlib_clear_sky_ghi_Wh_m2,144.95129839449524,152.62816079855645,7.676862404061211
target_1h,LSTM,Solar_Energy_kJ_m2_roll_mean_6h,144.95129839449524,152.00966894617264,7.058370551677399
target_1h,LSTM,Solar_Energy_kJ_m2_roll_std_3h,144.95129839449524,151.57602388116993,6.624725486674691
target_1h,LSTM,Solar_Energy_kJ_m2_lag_168h,144.95129839449524,150.8658603279748,5.914561933479547
target_1h,LSTM,Humidity_lag_1h,144.95129839449524,150.82135800757797,5.870059613082731
target_1h,LSTM,Solar_Energy_kJ_m2_lag_1h,144.95129839449524,149.6112410131672,4.659942618671948
target_1h,LSTM,Solar_Energy_kJ_m2_roll_mean_168h,144.95129839449524,149.5825179875643,4.631219593069062
target_1h,LSTM,month_cos,144.95129839449524,149.37116888392484,4.419870489429599
