group_value,MAE,RMSE,count,target,model,group
0,4.865415096282959,5.066915035247803,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
1,4.915086269378662,5.182448387145996,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
2,5.343261241912842,5.753954887390137,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
3,5.3900909423828125,6.032667636871338,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
4,7.499631881713867,8.90611457824707,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
5,26.404823303222656,39.293853759765625,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
6,56.09797668457031,76.8617935180664,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
7,52.831241607666016,81.67157745361328,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
8,57.07256317138672,86.71302795410156,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
9,69.96898651123047,120.68707275390625,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
10,85.09001159667969,139.3052215576172,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
11,100.03766632080078,148.57565307617188,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
12,111.3158187866211,177.274169921875,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
13,90.69218444824219,134.9416046142578,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
14,66.22872924804688,103.01268768310547,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
15,40.674198150634766,56.076995849609375,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
16,24.5366153717041,32.79903030395508,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
17,9.939065933227539,15.592905044555664,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
18,6.511661529541016,7.681466579437256,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
19,6.157561302185059,6.4640679359436035,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
20,5.853455066680908,6.035072326660156,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
21,5.522314548492432,5.720282554626465,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
22,5.244237899780273,5.44738245010376,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
23,5.022865295410156,5.222597599029541,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_all
4,13.147204399108887,13.886362075805664,36,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
5,32.73179244995117,46.29708480834961,128,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
6,56.09797668457031,76.8617935180664,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
7,52.831241607666016,81.67157745361328,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
8,57.07256317138672,86.71302795410156,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
9,69.96898651123047,120.68707275390625,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
10,85.09001159667969,139.3052215576172,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
11,100.03766632080078,148.57565307617188,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
12,111.3158187866211,177.274169921875,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
13,90.69218444824219,134.9416046142578,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
14,66.22872924804688,103.01268768310547,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
15,40.674198150634766,56.076995849609375,183,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
16,27.081220626831055,36.54160690307617,134,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
17,17.341793060302734,22.3250732421875,78,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
18,8.181978225708008,8.683671951293945,17,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,hour_daylight
7,40.057411193847656,83.86483001708984,744,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,month_all
8,48.42583465576172,95.54627227783203,744,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,month_all
9,43.668067932128906,89.98420715332031,720,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,month_all
10,35.610633850097656,77.98797607421875,744,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,month_all
11,31.284591674804688,68.76016235351562,720,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,month_all
12,13.675932884216309,22.146434783935547,720,target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,month_all
0,15.397427369578775,16.348234171889803,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
1,10.328050991865018,11.888283332125072,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
2,6.50783836017959,8.684722569401176,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
3,5.335243590290262,7.933708683425963,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
4,7.666406602713656,10.711806289420334,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
5,23.292918723411837,29.523253102589504,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
6,39.479502315818976,51.592998321136236,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
7,91.65604047787015,127.00671338588646,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
8,163.3310440685873,223.80371337066376,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
9,213.47017631444677,302.22436664330013,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
10,243.2873206219012,363.07022606417,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
11,268.192495285201,394.83350136484006,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
12,263.3874017980812,378.1100919400803,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
13,282.4241826240492,388.5656404795812,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
14,267.6690913087816,343.9229060146415,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
15,232.08155741789352,294.8744027470777,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
16,148.22410211195697,202.21373774293156,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
17,74.91407554227042,111.36905704479307,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
18,18.2467876390245,34.33224063506391,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
19,10.327041454782888,14.239151592639264,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
20,12.930292458762441,14.265554953453202,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
21,18.26038442639911,19.23677353736081,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
22,21.10134399370707,21.758373588139623,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
23,19.721847589949913,20.35288567755076,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_all
5,33.910062209751125,37.531129216006825,35,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
6,45.74871170185737,59.32582077713099,127,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
7,91.65604047787015,127.00671338588646,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
8,163.3310440685873,223.80371337066376,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
9,213.47017631444677,302.22436664330013,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
10,243.2873206219012,363.07022606417,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
11,268.192495285201,394.83350136484006,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
12,263.3874017980812,378.1100919400803,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
13,282.4241826240492,388.5656404795812,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
14,267.6690913087816,343.9229060146415,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
15,232.08155741789352,294.8744027470777,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
16,148.22410211195697,202.21373774293156,183,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
17,93.48832601777362,129.23059193393107,134,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
18,38.467561717741084,52.34968286330919,77,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
19,26.36630217196914,27.467535222366283,16,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,hour_daylight
7,100.57215318915893,165.21359982259318,744,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,month_all
8,124.44449620533815,236.04783466274304,744,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,month_all
9,133.25304006039173,289.1973396450585,720,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,month_all
10,106.6148729637941,204.28895236788435,744,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,month_all
11,97.51618441225607,191.111426794735,720,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,month_all
12,51.09148141686347,79.48876242877645,720,target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,month_all
