model,feature,base_daily_total_RMSE,permuted_daily_total_RMSE,importance_delta_RMSE
XGBoost,Solar_Energy_kJ_m2_lag_1h,2308.6984428460987,3380.8395407058288,1072.14109785973
XGBoost,future_h5_clear_sky_proxy,2308.6984428460987,2560.0849595277105,251.38651668161174
XGBoost,future_h8_clear_sky_proxy,2308.6984428460987,2387.11845118754,78.42000834144119
XGBoost,future_h11_clear_sky_proxy,2308.6984428460987,2380.3700342593797,71.67159141328102
XGBoost,future_h2_clear_sky_proxy,2308.6984428460987,2374.632497882567,65.93405503646818
XGBoost,Solar_Energy_kJ_m2_mean_3h,2308.6984428460987,2369.1634599579656,60.46501711186693
XGBoost,Solar_Energy_kJ_m2_lag_12h,2308.6984428460987,2361.7349554935245,53.03651264742575
XGBoost,future_h6_clear_sky_proxy,2308.6984428460987,2355.542081984527,46.84363913842844
XGBoost,Solar_Energy_kJ_m2_max_6h,2308.6984428460987,2350.036169934412,41.337727088313386
XGBoost,Solar_Energy_kJ_m2_lag_2h,2308.6984428460987,2335.158345808695,26.45990296259606
XGBoost,Solar_Energy_kJ_m2_max_3h,2308.6984428460987,2334.6856319427675,25.98718909666877
XGBoost,Solar_Energy_kJ_m2_mean_6h,2308.6984428460987,2329.943883444406,21.24544059830714
XGBoost,Solar_Energy_kJ_m2_max_72h,2308.6984428460987,2329.2849761246475,20.586533278548814
XGBoost,future_h7_clear_sky_proxy,2308.6984428460987,2327.929444807123,19.231001961024504
XGBoost,Solar_Energy_kJ_m2_std_6h,2308.6984428460987,2327.8787554337964,19.1803125876977
XGBoost,Solar_Energy_kJ_m2_max_168h,2308.6984428460987,2324.0293672843295,15.330924438230795
XGBoost,future_h18_clear_sky_proxy,2308.6984428460987,2323.644766310031,14.946323463932458
XGBoost,Solar_Energy_kJ_m2_min_3h,2308.6984428460987,2323.285712089669,14.587269243570063
XGBoost,future_h14_clear_sky_proxy,2308.6984428460987,2322.062552990337,13.364110144238111
XGBoost,future_h1_clear_sky_proxy,2308.6984428460987,2321.202274684393,12.503831838294445
XGBoost,Solar_Energy_kJ_m2_lag_48h,2308.6984428460987,2320.0802787834737,11.381835937374944
XGBoost,Solar_Energy_kJ_m2_lag_3h,2308.6984428460987,2319.963361779664,11.26491893356524
XGBoost,future_h12_clear_sky_proxy,2308.6984428460987,2319.7713249370076,11.072882090908934
XGBoost,future_h23_clear_sky_proxy,2308.6984428460987,2319.2046050316476,10.506162185548874
XGBoost,Solar_Energy_kJ_m2_lag_6h,2308.6984428460987,2318.958063441424,10.259620595325487
XGBoost,Solar_Radiation_Wh_m2_lag_1h,2308.6984428460987,2316.9968709517066,8.298428105607854
XGBoost,Solar_Energy_kJ_m2_lag_168h,2308.6984428460987,2313.2543094091493,4.555866563050586
XGBoost,Solar_Energy_kJ_m2_lag_24h,2308.6984428460987,2312.975896977744,4.2774541316453
XGBoost,future_h13_clear_sky_proxy,2308.6984428460987,2312.507297285784,3.808854439685092
XGBoost,Solar_Radiation_Wh_m2_max_6h,2308.6984428460987,2311.613613906961,2.9151710608621215
XGBoost,Solar_Energy_kJ_m2_max_24h,2308.6984428460987,2311.4442454880887,2.7458026419899397
XGBoost,Solar_Radiation_Wh_m2_max_3h,2308.6984428460987,2310.3288726932365,1.6304298471377479
XGBoost,Solar_Radiation_Wh_m2_lag_24h,2308.6984428460987,2309.310286644045,0.6118437979462215
XGBoost,Solar_Radiation_Wh_m2_lag_48h,2308.6984428460987,2309.284954266147,0.5865114200482822
XGBoost,Solar_Radiation_Wh_m2_lag_168h,2308.6984428460987,2309.2105793972105,0.5121365511117801
XGBoost,future_h24_clear_sky_proxy,2308.6984428460987,2308.7262722115847,0.027829365486013558
XGBoost,Solar_Radiation_Wh_m2_lag_6h,2308.6984428460987,2308.6512296143824,-0.0472132317163414
XGBoost,Solar_Radiation_Wh_m2_lag_2h,2308.6984428460987,2308.5565836686783,-0.14185917742042875
XGBoost,Solar_Radiation_Wh_m2_lag_12h,2308.6984428460987,2307.0439961127745,-1.654446733324221
XGBoost,future_h19_clear_sky_proxy,2308.6984428460987,2306.98992195458,-1.708520891518674
