split,model,horizon,RMSE,MAE,R2,daylight_RMSE,n_daylight
test,Persistence_current,1,260.56352383863356,157.86764100645405,0.9584775909831755,343.86330770546533,2398
test,Persistence_current,2,496.6913331456506,318.22903411290895,0.8248961232902096,609.0249725772077,2292
test,Persistence_current,3,839.232815166859,588.0839506776359,0.3749770872623094,1122.9314366640942,2188
test,Persistence_current,4,1246.2715270651547,904.5108144824189,-0.46698312299774125,1720.2107385132854,2188
test,Persistence_current,5,1638.7602998457621,1205.8546005359708,-1.1329888880525711,2285.678829427201,2188
test,Persistence_current,6,1937.794154986139,1433.8883391448508,-1.4170838543354134,2564.344882711932,2343
test,Persistence_current,7,2083.2506465809706,1578.3354245258406,-1.654228785295997,2552.6193591511733,2398
test,Persistence_current,8,2085.5268390057213,1672.0684699439175,-2.087186053524619,2142.7677471894135,2293
test,Persistence_current,9,2048.180037713945,1741.7351879440596,-2.7233728176860588,1980.7854507246043,2189
test,Persistence_current,10,2038.9411690754941,1755.9011257935094,-2.9271516850749326,1961.6338853063025,2189
test,Persistence_current,11,2070.1665651734916,1714.122660785716,-2.403788699422149,2025.9728325117758,2189
test,Persistence_current,12,2111.0382740337313,1636.4721911366955,-1.868124743493623,2060.449827292126,2344
test,Persistence_current,13,2107.46191679864,1525.5582564963797,-1.7157421533635637,2039.9391217719483,2399
test,Persistence_current,14,2040.7207716499358,1473.2955513900345,-1.9555788389652724,1956.6189170665152,2293
test,Persistence_current,15,1961.8725379625787,1540.0707136005578,-2.4158453314260013,1838.2153830876582,2189
test,Persistence_current,16,1913.8068421487956,1553.7601798822109,-2.460049999991212,1733.939573291764,2189
test,Persistence_current,17,1916.6644933466096,1511.684100096809,-1.9181995963169451,1740.2395654913591,2189
test,Persistence_current,18,1938.7136290118467,1433.8711657272454,-1.4194781542539276,2129.4136891478975,2344
test,Persistence_current,19,1865.6871034025341,1321.9107472158496,-1.1288834854283816,2358.9917124122644,2398
test,Persistence_current,20,1618.9585990669423,1128.7898377566025,-0.8604847792797241,2237.1885495354386,2292
test,Persistence_current,21,1236.1307561436724,850.1064172077593,-0.3560618473417656,1748.2550969100485,2188
test,Persistence_current,22,807.902437500582,539.2888502997298,0.383505839904442,1142.5279150828037,2188
test,Persistence_current,23,416.1343775442021,257.89547970427316,0.862457157264841,588.2803859856036,2188
test,Persistence_current,24,227.7508019737055,82.70822751797142,0.966610360110606,311.2870278883228,2343
test,SeasonalPersistence_yesterday,1,228.91555072910387,76.41871374808737,0.967951633631442,309.2700307406383,2398
test,SeasonalPersistence_yesterday,2,249.21185965308592,94.50620250775985,0.9559181300264964,344.38907965404803,2292
test,SeasonalPersistence_yesterday,3,257.30996191939084,110.66920651424304,0.9412450818725103,363.93281357151733,2188
test,SeasonalPersistence_yesterday,4,256.51440721698964,115.97944892463222,0.9378525524772714,362.8076007774413,2188
test,SeasonalPersistence_yesterday,5,244.5305411423294,103.69961694269004,0.9525076191053619,345.85791851297597,2188
test,SeasonalPersistence_yesterday,6,227.75569054324384,82.72508013104095,0.9666101161990708,311.2937095571648,2343
test,SeasonalPersistence_yesterday,7,228.91555072910387,76.41871374808737,0.967951633631442,309.2700307406383,2398
test,SeasonalPersistence_yesterday,8,249.21187933071508,94.50769942390176,0.9559172460885327,344.3140029081477,2293
test,SeasonalPersistence_yesterday,9,257.3103030526124,110.67553962636053,0.9412355577631122,363.85015881439324,2189
test,SeasonalPersistence_yesterday,10,256.5149215335102,115.98721314871014,0.9378424980113584,362.72544795513073,2189
test,SeasonalPersistence_yesterday,11,244.53149775581633,103.70995554794371,0.9525078722096237,345.7802631221606,2189
test,SeasonalPersistence_yesterday,12,227.75628711214011,82.73295950895034,0.9666153697808606,311.22811544470443,2344
test,SeasonalPersistence_yesterday,13,228.91632193078416,76.4276952449388,0.9679577812255543,309.2066076071289,2399
test,SeasonalPersistence_yesterday,14,249.21191320628756,94.50858770191384,0.9559229036387356,344.3140497110937,2293
test,SeasonalPersistence_yesterday,15,257.30967245942935,110.67105711914509,0.9412417509608234,363.84926712281657,2189
test,SeasonalPersistence_yesterday,16,256.51134465728506,115.96805753614196,0.937841672057935,362.72039006600954,2189
test,SeasonalPersistence_yesterday,17,244.5216828868794,103.67745110605688,0.9525039437557185,345.7663843867229,2189
test,SeasonalPersistence_yesterday,18,227.75081329996596,82.70931319327613,0.9666101666516669,311.22063546564965,2344
test,SeasonalPersistence_yesterday,19,228.9007236811766,76.38730321879362,0.9679543853860239,309.2499989617387,2398
test,SeasonalPersistence_yesterday,20,249.20199012353157,94.47497293473597,0.9559183696746416,344.3754408051058,2292
test,SeasonalPersistence_yesterday,21,257.30401759630735,110.64527233839307,0.9412451383877314,363.92440606872026,2188
test,SeasonalPersistence_yesterday,22,256.5075769539812,115.94704314718406,0.937854236701057,362.7979402232382,2188
test,SeasonalPersistence_yesterday,23,244.51989586908948,103.66332088171524,0.9525103235929485,345.8428621031403,2188
test,SeasonalPersistence_yesterday,24,227.7508019737055,82.70822751797142,0.966610360110606,311.2870278883228,2343
test,SeasonalPersistence_weekly,1,273.2155980971586,103.2921015826812,0.9543473193041321,369.11311047695017,2398
test,SeasonalPersistence_weekly,2,297.14022204366466,124.78867561631424,0.9373320505562176,410.6205702398953,2292
test,SeasonalPersistence_weekly,3,307.21617565439755,145.2095414096971,0.9162433725753708,434.5189216405565,2188
test,SeasonalPersistence_weekly,4,309.01239663983154,150.717754493872,0.9098114143841078,437.0594519494064,2188
test,SeasonalPersistence_weekly,5,295.4749681765395,137.97681403819192,0.9306575609525719,417.9124496630649,2188
test,SeasonalPersistence_weekly,6,280.30967055578776,114.26501196760387,0.9494230546476237,383.11770632638974,2343
test,SeasonalPersistence_weekly,7,273.2155980971586,103.2921015826812,0.9543473193041321,369.11311047695017,2398
test,SeasonalPersistence_weekly,8,297.1402472670101,124.79052620029951,0.9373307931837338,410.5310574768565,2293
test,SeasonalPersistence_weekly,9,307.2177894758485,145.22459281588462,0.9162291377369831,434.42194177719455,2189
test,SeasonalPersistence_weekly,10,309.0269416982399,150.7630732019715,0.9097886932241998,436.9801771670224,2189
test,SeasonalPersistence_weekly,11,295.50268666617325,138.0379901735211,0.930645462579153,417.8561767562901,2189
test,SeasonalPersistence_weekly,12,280.3536634422184,114.34007982720733,0.9494154032157277,383.09609190966694,2344
test,SeasonalPersistence_weekly,13,273.27450484729263,103.37786170840944,0.9543366999123891,369.1157415745562,2399
test,SeasonalPersistence_weekly,14,297.15723587660113,124.83713620913363,0.9373316877966366,410.55452924412793,2293
test,SeasonalPersistence_weekly,15,307.2139787358013,145.21795540649052,0.9162396337839156,434.4165531924588,2189
test,SeasonalPersistence_weekly,16,308.9444947273937,150.67806153431422,0.9098331100546703,436.86359285974726,2189
test,SeasonalPersistence_weekly,17,295.30612300962184,137.87956387347927,0.9307264088908032,417.5782255168532,2189
test,SeasonalPersistence_weekly,18,280.15125316972745,114.18283787954608,0.9494781183218427,382.81949329002754,2344
test,SeasonalPersistence_weekly,19,273.128614558881,103.24290903164204,0.9543743906627722,368.99559083503254,2398
test,SeasonalPersistence_weekly,20,297.0016397464035,124.69180381867285,0.9373858730020695,410.42906069148125,2292
test,SeasonalPersistence_weekly,21,307.085317957532,145.08357844310234,0.9163109228903373,434.3338397671518,2188
test,SeasonalPersistence_weekly,22,308.8678870975473,150.57407525393526,0.909893391337494,436.8550612452178,2188
test,SeasonalPersistence_weekly,23,295.29132455993994,137.8348784765915,0.9307416434587641,417.65270869701374,2188
test,SeasonalPersistence_weekly,24,280.15102157851584,114.17739305415598,0.9494784895468209,382.9008623331593,2343
