model,daily_total_RMSE,daily_total_MAE,daily_total_R2
Ensemble_XGBoost_w0.5_TSMixer-lite_w0.5,2330.785489915363,1566.09912109375,0.8533921837806702
Ensemble_XGBoost_w0.7_TSMixer-lite_w0.3,2331.4205969751574,1580.4112548828125,0.8533122539520264
Ensemble_HistGradientBoosting_w0.5_TSMixer-lite_w0.5,2331.6682868710122,1562.9730224609375,0.8532811403274536
Ensemble_HistGradientBoosting_w0.7_TSMixer-lite_w0.3,2332.0657151975797,1575.2012939453125,0.8532310724258423
Ensemble_XGBoost_w0.3_TSMixer-lite_w0.7,2343.7477466655837,1569.3192138671875,0.8517569899559021
Ensemble_HistGradientBoosting_w0.3_TSMixer-lite_w0.7,2344.5261781434647,1567.96533203125,0.8516585230827332
Ensemble_Random Forest_w0.5_TSMixer-lite_w0.5,2346.918831148619,1587.41259765625,0.8513555526733398
Ensemble_Random Forest_w0.3_TSMixer-lite_w0.7,2348.391683684815,1576.58251953125,0.8511689305305481
Ensemble_CatBoost_w0.5_TSMixer-lite_w0.5,2349.0356531989887,1574.114501953125,0.8510873317718506
Ensemble_HistGradientBoosting_w0.7_LSTM_w0.3,2350.675647553273,1600.9222412109375,0.8508793115615845
Ensemble_XGBoost_w0.7_LSTM_w0.3,2351.3159081671693,1605.95751953125,0.8507980704307556
Ensemble_HistGradientBoosting_w0.7_GRU_w0.3,2353.6010706999605,1600.52197265625,0.850507915019989
Ensemble_CatBoost_w0.3_TSMixer-lite_w0.7,2353.6456827653565,1572.6707763671875,0.8505022525787354
Ensemble_XGBoost_w0.7_GRU_w0.3,2354.2053861122654,1605.3697509765625,0.8504311442375183
HistGradientBoosting,2357.43928871986,1625.4173583984375,0.8500199317932129
XGBoost,2357.779781913485,1632.5811767578125,0.8499765992164612
Ensemble_CatBoost_w0.7_TSMixer-lite_w0.3,2359.274040886306,1593.03271484375,0.8497864007949829
Ensemble_HistGradientBoosting_w0.5_LSTM_w0.5,2360.0800833870026,1596.408935546875,0.8496837615966797
Ensemble_XGBoost_w0.5_LSTM_w0.5,2360.7259476694876,1599.42431640625,0.8496014475822449
Ensemble_HistGradientBoosting_w0.5_GRU_w0.5,2363.7635245514725,1593.3665771484375,0.8492141962051392
Ensemble_XGBoost_w0.5_GRU_w0.5,2364.366617087968,1597.480712890625,0.8491371870040894
