value,RMSE,MAE,n,group
0,5.9969031894123574,4.320793877041058,4377,hour
1,6.861815617214855,4.788261145167989,4377,hour
2,6.649785930401663,4.0479688954759565,4377,hour
3,7.759308140087999,4.562364398171319,4377,hour
4,9.67395574670659,5.735330430171416,4377,hour
5,11.476110733293892,7.9774801714734345,4377,hour
6,43.810069674392935,28.42926725171896,4377,hour
7,109.66708166059014,74.9533176862243,4377,hour
8,194.18951798091135,130.64195875133422,4377,hour
9,260.4841060048507,170.98363291457386,4377,hour
10,311.700453705021,196.4983814039921,4377,hour
11,335.63909343267153,215.79462496831806,4377,hour
12,311.63866820953274,194.5603735446385,4377,hour
13,331.98198424876756,217.86342356775296,4377,hour
14,320.6474494961295,215.82118056020371,4377,hour
15,279.56811785553504,196.61048973175878,4377,hour
16,200.66302531213015,142.97639562246434,4377,hour
17,101.43726992414788,68.74653535338469,4377,hour
18,33.1613654581286,21.768561753731408,4377,hour
19,13.3265273906286,8.644497298114027,4377,hour
20,11.376785510634921,6.753010211915937,4377,hour
21,9.096711605396138,5.022277793822263,4377,hour
22,6.813231955390144,4.117175043996331,4377,hour
23,5.882249924588576,3.5751368459982227,4377,hour
1,132.31341599194332,55.696257815299894,8892,month
2,207.07984420722352,89.89609580077139,8064,month
3,195.25001595695525,91.94080786954882,8928,month
4,159.22885452374015,83.07198354338996,8640,month
5,221.71674963329238,108.03823796407494,8928,month
6,227.27881323941517,102.92990210035966,8640,month
7,141.8864666175975,73.65383770460062,8928,month
8,146.0196036201834,74.56675499873235,8928,month
9,255.5012237485127,115.24062245327137,8640,month
10,154.59671681171466,71.7573841348208,8928,month
11,114.34614170248301,50.86693381574568,8640,month
12,135.9905635150854,51.570196682552755,8892,month
