feature,importance_mean,importance_std,model
anchor_hour_sin,904.2020124392528,9.581130268478091,HistGradientBoosting
anchor_hour_cos,373.73190551183905,4.200562784381418,HistGradientBoosting
Solar_Energy_kJ_m2_lag_2h,224.0212608132846,1.4826128957832623,HistGradientBoosting
future_h12_solar_elevation,182.2285710517498,0.6836384320745026,HistGradientBoosting
Solar_Energy_kJ_m2_lag_1h,180.68001946657708,1.664499960019242,HistGradientBoosting
sim_pv_ac_kWh_per_kWp_lag_1h,76.49061608761454,2.115459505729035,HistGradientBoosting
future_h1_solar_elevation,46.22368720957434,2.2221052101698433,HistGradientBoosting
future_h24_solar_elevation,44.56770045775781,1.2825181025780523,HistGradientBoosting
sim_pv_ac_kWh_per_kWp_lag_12h,31.8979602139201,1.126883200305997,HistGradientBoosting
Solar_Energy_kJ_m2_mean_24h,25.939336191057862,1.9133636152017175,HistGradientBoosting
anchor_solar_elevation_proxy_deg,22.035864115030677,0.15652771455819448,HistGradientBoosting
sim_pv_ac_kWh_per_kWp_lag_6h,16.432550175615717,1.0691742550782521,HistGradientBoosting
Solar_Energy_kJ_m2_mean_6h,15.167298592014191,0.538361992032975,HistGradientBoosting
wind_dir_cos_last,13.498832999038939,2.5688155333400005,HistGradientBoosting
Solar_Energy_kJ_m2_mean_168h,11.134601139745257,1.6032709434328467,HistGradientBoosting
clear_sky_index_proxy_lag_1h,8.36684036414573,0.1262753132355101,HistGradientBoosting
anchor_doy_sin,7.953369404315168,0.5084413242653056,HistGradientBoosting
Humidity_last,7.64236963768829,0.42811185862578327,HistGradientBoosting
Solar_Energy_kJ_m2_max_72h,7.2309642269219125,0.5955221993289115,HistGradientBoosting
anchor_doy_cos,5.844241359379993,0.08036632781229969,HistGradientBoosting
Temperature_last,5.4467584385512,0.925772131979528,HistGradientBoosting
Solar_Energy_kJ_m2_max_6h,5.1056623123747045,0.19285615338611706,HistGradientBoosting
Solar_Energy_kJ_m2_lag_6h,4.635950322925623,0.5473657590052312,HistGradientBoosting
Solar_Energy_kJ_m2_mean_3h,3.3231733583421885,0.24175946436562867,HistGradientBoosting
future_mean_solar_elevation,3.282820060641029,0.2907536601189804,HistGradientBoosting
wind_dir_sin_last,3.2243401868463195,0.5796617499842966,HistGradientBoosting
Solar_Energy_kJ_m2_lag_3h,3.163021982058325,0.06775078101387066,HistGradientBoosting
Solar_Energy_kJ_m2_lag_12h,3.0777674072773777,0.48819446925026,HistGradientBoosting
Pressure_last,2.269938603385299,0.2870332958452195,HistGradientBoosting
future_h1_hour_cos,2.1569799657500823,0.04593001454875889,HistGradientBoosting
Solar_Energy_kJ_m2_mean_72h,2.0978297087871454,0.14390206080227586,HistGradientBoosting
Solar_Energy_kJ_m2_std_3h,1.527514360815843,0.044265869674603664,HistGradientBoosting
wind_dir_cos_mean_24h,1.4997018136722033,0.1592989264003961,HistGradientBoosting
Solar_Energy_kJ_m2_std_6h,1.3653484559255418,0.2826141266649387,HistGradientBoosting
Solar_Energy_kJ_m2_std_24h,1.33117673362932,0.0558403828780456,HistGradientBoosting
Solar_Energy_kJ_m2_std_168h,1.2153101344702293,0.2482265740809737,HistGradientBoosting
Solar_Energy_kJ_m2_max_168h,1.1500172738578698,0.27412946519415016,HistGradientBoosting
Solar_Energy_kJ_m2_max_24h,1.1037992752079049,0.028964886024937186,HistGradientBoosting
clear_sky_index_proxy_lag_6h,1.0676476600056048,0.1667960882570867,HistGradientBoosting
clear_sky_index_proxy_lag_12h,0.9688597645497055,0.31324049048538427,HistGradientBoosting
Temperature_mean_168h,0.9484128809324659,0.44892873410702805,HistGradientBoosting
Solar_Energy_kJ_m2_max_3h,0.9437800013938187,0.02521443034366655,HistGradientBoosting
wind_dir_sin_mean_24h,0.7692419057753597,0.017605178202657612,HistGradientBoosting
future_doy_cos_mean,0.7480986318350062,0.2164625564938376,HistGradientBoosting
sim_pv_ac_kWh_per_kWp_lag_24h,0.7159318140762565,0.004215719733323908,HistGradientBoosting
