model,model_type,val_daylight_RMSE,test_daylight_RMSE,test_RMSE,test_R2,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_daily_total_R2,test_skill_vs_persistence_daylight,train_seconds
Ensemble_HistGradientBoosting_w0.5_TSMixer-lite_w0.5,ensemble,225.29830052343937,248.7674459962557,179.13629587551486,0.976101815700531,80.2708397541956,173.07058034585197,185.09850629124483,2331.6245409585135,0.853286623954773,0.26730631228844237,0.0
Ensemble_HistGradientBoosting_w0.7_TSMixer-lite_w0.3,ensemble,225.44729844245197,249.32306006715464,179.47993990450576,0.9760100245475769,77.05429738887864,173.36358222136792,184.91799280356685,2331.978023052533,0.8532421588897705,0.2656698645574258,0.0
Ensemble_XGBoost_w0.5_TSMixer-lite_w0.5,ensemble,225.65984841681518,248.5647237139655,178.9699586348223,0.9761461615562439,79.58389711296815,173.2812020964767,185.37293491769503,2330.437190743402,0.8534359931945801,0.26790338935372193,0.0
Ensemble_XGBoost_w0.7_TSMixer-lite_w0.3,ensemble,225.80370346830009,248.95301075202926,179.19333679890278,0.9760865569114685,76.0137605757997,173.37858233501623,185.2026866874506,2330.6002445722,0.8534154891967773,0.2667597692121467,0.0
Ensemble_HistGradientBoosting_w0.7_LSTM_w0.3,ensemble,226.24578725359729,250.75693223219173,180.5477235213726,0.9757237434387207,78.8623083093248,174.67113630870728,185.51359240969379,2350.6293838034103,0.8508851528167725,0.26144668704277707,0.0
Ensemble_HistGradientBoosting_w0.5_LSTM_w0.5,ensemble,226.37800246490383,251.03997751852194,180.85188496909564,0.9756418466567993,83.44293931240527,175.07334958346743,185.71515066762862,2360.0747869506167,0.8496844172477722,0.26061303497950117,0.0
Ensemble_CatBoost_w0.7_TSMixer-lite_w0.3,ensemble,226.46924805036997,251.04403093630808,180.7567750286279,0.9756674766540527,84.4659723692402,175.32971172194402,184.22011502886974,2359.3488508484706,0.8497768640518188,0.2606010964655462,0.0
Ensemble_XGBoost_w0.7_LSTM_w0.3,ensemble,226.4922218587208,250.45072650373766,180.29394943570625,0.9757919311523438,77.78255887307739,174.80717613451972,185.6189392949976,2350.550680159864,0.8508951663970947,0.2623485534565312,0.0
Ensemble_CatBoost_w0.5_TSMixer-lite_w0.5,ensemble,226.4970508913968,250.32516353734795,180.27511527523703,0.9757969975471497,85.67339531069432,174.87120260351617,185.06175067393045,2349.3056420993844,0.8510531187057495,0.26271837352087135,0.0
Ensemble_XGBoost_w0.5_LSTM_w0.5,ensemble,226.60829709545058,250.91240534547111,180.72291896021378,0.9756765961647034,82.71131495202908,175.42497506056543,185.77628515233047,2360.4388363183657,0.849638044834137,0.2609887727515704,0.0
