task,model,test_daylight_RMSE,test_RMSE,test_R2,train_seconds
point_20y_target_1h,PatchTST-standard,107.43977237271122,79.60187495338128,0.9961239099502563,44.672325134277344
point_20y_target_24h,PatchTST-standard,257.92783026459165,189.59186221657828,0.9768573045730591,16.495755910873413
point_3y_target_1h,PatchTST-standard,112.48744287558279,80.06977243024517,0.9945536851882935,26.438032388687134
point_3y_target_24h,PatchTST-standard,334.95603722727554,238.5531829461724,0.9516565799713135,10.437991380691528
point_20y_target_1h,TSMixer-standard,106.85478610010878,79.25497815594929,0.9961575865745544,123.01754641532898
point_20y_target_24h,TSMixer-standard,254.42554012667438,186.5034768442669,0.9776051044464111,73.1563994884491
point_3y_target_1h,TSMixer-standard,133.18345254291165,94.93718112191345,0.9923433661460876,30.60505747795105
point_3y_target_24h,TSMixer-standard,336.79015629171823,239.7730453600863,0.9511609077453613,24.243173122406006
point_20y_target_1h,iTransformer-standard,106.92830359345929,79.16248926752651,0.9961665868759155,50.13266897201538
point_20y_target_24h,iTransformer-standard,265.6553365029583,194.70896751626515,0.9755911827087402,15.474108934402466
point_3y_target_1h,iTransformer-standard,116.60444955596678,83.00419734774712,0.9941471815109253,27.165635347366333
point_3y_target_24h,iTransformer-standard,334.5967722498231,238.38557757077083,0.9517245292663574,10.545110940933228
