epoch,train_loss,val_loss,lr,task,model
1,0.09676014169105399,0.023448801394004154,0.0007,point_3y_target_1h,TSMixer-standard
2,0.019249270725717294,0.012015030705643928,0.0007,point_3y_target_1h,TSMixer-standard
3,0.014527097855235881,0.017389535356093857,0.0007,point_3y_target_1h,TSMixer-standard
4,0.013420363686589607,0.01602099361993811,0.0007,point_3y_target_1h,TSMixer-standard
5,0.01318704809145585,0.008209315053296877,0.0007,point_3y_target_1h,TSMixer-standard
6,0.012585246115366914,0.008265549731303883,0.0007,point_3y_target_1h,TSMixer-standard
7,0.011930426214335125,0.009747355676475255,0.0007,point_3y_target_1h,TSMixer-standard
8,0.012798519120482145,0.024146477657589403,0.00035,point_3y_target_1h,TSMixer-standard
9,0.010822825672438563,0.008465783006292494,0.00035,point_3y_target_1h,TSMixer-standard
10,0.00969977824907027,0.00821427910533898,0.00035,point_3y_target_1h,TSMixer-standard
1,0.07712547146061909,0.0359430324204047,0.0007,point_3y_target_1h,PatchTST-standard
2,0.02359037578745342,0.021062414380995667,0.0007,point_3y_target_1h,PatchTST-standard
3,0.01557463373460654,0.010476160185028087,0.0007,point_3y_target_1h,PatchTST-standard
4,0.013106476227099548,0.01771278037032222,0.0007,point_3y_target_1h,PatchTST-standard
5,0.011949803961663326,0.012339134604724892,0.0007,point_3y_target_1h,PatchTST-standard
6,0.010300831761516964,0.008915642290102208,0.0007,point_3y_target_1h,PatchTST-standard
7,0.01082062394247015,0.011858868008643827,0.0007,point_3y_target_1h,PatchTST-standard
8,0.010336106111392823,0.008518190520322499,0.0007,point_3y_target_1h,PatchTST-standard
9,0.009571952034663687,0.008090599481125964,0.0007,point_3y_target_1h,PatchTST-standard
10,0.00896146591690216,0.007312374747604789,0.0007,point_3y_target_1h,PatchTST-standard
11,0.008697521243828223,0.006050574822652647,0.0007,point_3y_target_1h,PatchTST-standard
12,0.008448471273504086,0.008954589138738811,0.0007,point_3y_target_1h,PatchTST-standard
13,0.00915092035585931,0.006885700989240671,0.0007,point_3y_target_1h,PatchTST-standard
14,0.008694956040899478,0.01108379557947902,0.00035,point_3y_target_1h,PatchTST-standard
15,0.007549577027753885,0.005290823885897065,0.00035,point_3y_target_1h,PatchTST-standard
16,0.0068257155101885325,0.00531025863293668,0.00035,point_3y_target_1h,PatchTST-standard
17,0.007031760812709247,0.005847476165988208,0.00035,point_3y_target_1h,PatchTST-standard
18,0.006906959532287473,0.00492112515733906,0.00035,point_3y_target_1h,PatchTST-standard
