rank_in_task_dataset,rank_in_scope,task,dataset_years,comparison_scope,model,model_family,source_notebook,source_task_raw,sort_metric,sort_RMSE,val_sort_RMSE,test_RMSE,test_daylight_RMSE,val_RMSE,val_daylight_RMSE,test_R2,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,train_seconds,n_params,note
1,1,target_1h,3y,direct_point,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,ensemble,03_deep_learning_ensemble_interpretability,target_1h,val_daylight_RMSE,105.7364944583734,105.7364944583734,,108.22090670677964,,105.7364944583734,0.9890863299369812,,,,,,,Direct point forecasting on 3y dataset. Kept LSTM/GRU plus top-3 validation-selected ensembles.
2,2,target_1h,3y,direct_point,Ensemble_XGBoost_compact_w0.7_LSTM_w0.3,ensemble,03_deep_learning_ensemble_interpretability,target_1h,val_daylight_RMSE,106.54830963234036,106.54830963234036,,108.27647446179157,,106.54830963234036,0.9890751242637634,,,,,,,Direct point forecasting on 3y dataset. Kept LSTM/GRU plus top-3 validation-selected ensembles.
3,3,target_1h,3y,direct_point,Ensemble_CatBoost_compact_w0.7_GRU_w0.3,ensemble,03_deep_learning_ensemble_interpretability,target_1h,val_daylight_RMSE,106.68061230388696,106.68061230388696,,107.79121009167577,,106.68061230388696,0.9891728400390092,,,,,,,Direct point forecasting on 3y dataset. Kept LSTM/GRU plus top-3 validation-selected ensembles.
4,4,target_1h,3y,direct_point,RandomForest,boosting/tree,02_ml_baselines_boosting_ablation,target_1h,val_daylight_RMSE,107.88010779122784,107.88010779122784,79.34105286965216,111.52078354773072,78.53282137922986,107.88010779122784,0.9884106392375274,,,,,8.191509008407593,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
5,5,target_1h,3y,direct_point,XGBoost,boosting/tree,02_ml_baselines_boosting_ablation,target_1h,val_daylight_RMSE,108.35555330996291,108.35555330996291,77.69542101542393,109.1227195902284,78.91741073872875,108.35555330996291,0.9889036992288937,,,,,2.129589080810547,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
6,6,target_1h,3y,direct_point,HistGradientBoosting,boosting/tree,02_ml_baselines_boosting_ablation,target_1h,val_daylight_RMSE,108.79790651140566,108.79790651140566,80.0301689775717,112.44333093204853,79.24783741343846,108.79790651140566,0.988218101893282,,,,,4.0329790115356445,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
7,7,target_1h,3y,direct_point,CatBoost,boosting/tree,02_ml_baselines_boosting_ablation,target_1h,val_daylight_RMSE,109.5886885282186,109.5886885282186,77.71328152635918,109.00914205714186,79.99088529562017,109.5886885282186,0.9889267857978956,,,,,4.593708276748657,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
8,8,target_1h,3y,direct_point,iTransformer,deep_standard,08_standard_deep_sequence_models_all_tasks,point_3y_target_1h,val_daylight_RMSE,111.44131197910852,111.44131197910852,83.00419734774712,116.60444955596678,,111.44131197910852,0.9941471815109252,83.00419734774712,,,,27.165635347366333,1143553.0,Direct point forecasting standard deep model. Ranked by validation daylight RMSE.
9,9,target_1h,3y,direct_point,MLP,tabular_ml,02_ml_baselines_boosting_ablation,target_1h,val_daylight_RMSE,112.26735161252611,112.26735161252611,82.06079103109407,115.1413684173302,81.9559796853857,112.26735161252611,0.9876459136923832,,,,,28.19412064552307,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
10,10,target_1h,3y,direct_point,PatchTST,deep_standard,08_standard_deep_sequence_models_all_tasks,point_3y_target_1h,val_daylight_RMSE,112.8055702511516,112.8055702511516,80.06977243024517,112.4874428755828,,112.8055702511516,0.9945536851882936,80.06977243024517,,,,26.43803238868713,1072513.0,Direct point forecasting standard deep model. Ranked by validation daylight RMSE.
11,11,target_1h,3y,direct_point,LSTM,deep_model,03_deep_learning_ensemble_interpretability,target_1h,val_daylight_RMSE,117.88390160582784,117.88390160582784,,119.11789639759216,,117.88390160582784,0.9867778420448304,,,,,23.25500559806824,,Direct point forecasting on 3y dataset. Kept LSTM/GRU plus top-3 validation-selected ensembles.
12,12,target_1h,3y,direct_point,GRU,deep_model,03_deep_learning_ensemble_interpretability,target_1h,val_daylight_RMSE,121.30534738702784,121.30534738702784,,120.46024207959654,,121.30534738702784,0.9864781498908995,,,,,23.05220651626587,,Direct point forecasting on 3y dataset. Kept LSTM/GRU plus top-3 validation-selected ensembles.
13,13,target_1h,3y,direct_point,TSMixer,deep_standard,08_standard_deep_sequence_models_all_tasks,point_3y_target_1h,val_daylight_RMSE,145.00640476156562,145.00640476156562,94.93718112191344,133.18345254291165,,145.00640476156562,0.9923433661460876,94.93718112191344,,,,30.60505747795105,1258481.0,Direct point forecasting standard deep model. Ranked by validation daylight RMSE.
14,14,target_1h,3y,direct_point,Ridge,tabular_ml,02_ml_baselines_boosting_ablation,target_1h,val_daylight_RMSE,152.49096211736597,152.49096211736597,120.96251941787187,149.54006666491236,130.66893338359196,152.49096211736597,0.9791616658551724,,,,,0.0156328678131103,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
15,15,target_1h,3y,direct_point,SVR_RBF,tabular_ml,02_ml_baselines_boosting_ablation,target_1h,val_daylight_RMSE,322.5408308784752,322.5408308784752,176.5891041655332,241.6957745290281,240.7039819068702,322.5408308784752,0.9455640290524266,,,,,2.076889514923096,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
16,16,target_1h,3y,direct_point,LinearRegression,tabular_ml,02_ml_baselines_boosting_ablation,target_1h,val_daylight_RMSE,685.6234616831044,685.6234616831044,532.7253189795342,579.1340672642157,583.1630394245867,685.6234616831044,0.6874596576465397,,,,,0.0144500732421875,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
