task,dataset_years,comparison_scope,source_notebook,model_family,n_rows
daily_total,20y,derived_from_24h_multihorizon,07_compact_multihorizon_24h_sequence_forecasting__derived,ensemble,5
daily_total,20y,direct_daily,05_extended_daily_total_forecasting_20y,boosting/tree,4
daily_total,20y,direct_daily,05_extended_daily_total_forecasting_20y,tabular_ml,4
daily_total,20y,direct_daily,08_standard_deep_sequence_models_all_tasks,deep_standard,3
daily_total,3y,direct_daily,04_daily_total_forecasting_final_comparison,boosting/tree,4
daily_total,3y,direct_daily,04_daily_total_forecasting_final_comparison,tabular_ml,4
multihorizon,20y,direct_multihorizon,07_compact_multihorizon_24h_sequence_forecasting,boosting/tree,4
multihorizon,20y,direct_multihorizon,07_compact_multihorizon_24h_sequence_forecasting,deep_model,2
multihorizon,20y,direct_multihorizon,07_compact_multihorizon_24h_sequence_forecasting,ensemble,3
multihorizon,20y,direct_multihorizon,07_compact_multihorizon_24h_sequence_forecasting,tabular_ml,3
multihorizon,20y,direct_multihorizon,08_standard_deep_sequence_models_all_tasks,deep_standard,3
target_1h,20y,direct_point,08_standard_deep_sequence_models_all_tasks,deep_standard,3
target_1h,3y,direct_point,02_ml_baselines_boosting_ablation,boosting/tree,4
target_1h,3y,direct_point,02_ml_baselines_boosting_ablation,tabular_ml,4
target_1h,3y,direct_point,03_deep_learning_ensemble_interpretability,deep_model,2
target_1h,3y,direct_point,03_deep_learning_ensemble_interpretability,ensemble,3
target_1h,3y,direct_point,08_standard_deep_sequence_models_all_tasks,deep_standard,3
target_24h,20y,direct_point,08_standard_deep_sequence_models_all_tasks,deep_standard,3
target_24h,3y,direct_point,02_ml_baselines_boosting_ablation,boosting/tree,4
target_24h,3y,direct_point,02_ml_baselines_boosting_ablation,tabular_ml,4
target_24h,3y,direct_point,03_deep_learning_ensemble_interpretability,deep_model,2
target_24h,3y,direct_point,03_deep_learning_ensemble_interpretability,ensemble,3
target_24h,3y,direct_point,08_standard_deep_sequence_models_all_tasks,deep_standard,3
