reference_rank,task,dataset_years,comparison_scope,model,model_family,source_notebook,reference_sort_metric,reference_sort_RMSE,horizon_specific_metric,horizon_specific_RMSE,test_RMSE,test_daylight_RMSE,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_R2,note
1,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,225.29830052343937,test_h1_RMSE,80.2708397541956,179.13629587551486,248.7674459962557,80.2708397541956,173.07058034585197,185.09850629124483,2331.624540958513,0.976101815700531,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
2,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_TSMixer-lite_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,225.447298442452,test_h1_RMSE,77.05429738887864,179.47993990450576,249.32306006715464,77.05429738887864,173.36358222136792,184.91799280356685,2331.978023052533,0.9760100245475768,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
3,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,225.6598484168152,test_h1_RMSE,79.58389711296815,178.9699586348223,248.5647237139655,79.58389711296815,173.2812020964767,185.37293491769503,2330.437190743402,0.976146161556244,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
4,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.7_TSMixer-lite_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,225.80370346830009,test_h1_RMSE,76.0137605757997,179.19333679890278,248.9530107520293,76.0137605757997,173.37858233501623,185.2026866874506,2330.6002445722,0.9760865569114684,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
5,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_LSTM_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.24578725359729,test_h1_RMSE,78.8623083093248,180.5477235213726,250.75693223219173,78.8623083093248,174.67113630870728,185.51359240969376,2350.6293838034103,0.9757237434387208,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
6,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_LSTM_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.37800246490383,test_h1_RMSE,83.44293931240527,180.85188496909564,251.03997751852197,83.44293931240527,175.07334958346743,185.71515066762865,2360.0747869506167,0.9756418466567992,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
7,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.7_TSMixer-lite_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.46924805037,test_h1_RMSE,84.4659723692402,180.7567750286279,251.04403093630808,84.4659723692402,175.32971172194402,184.2201150288697,2359.34885084847,0.9756674766540528,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
8,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.7_LSTM_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.4922218587208,test_h1_RMSE,77.78255887307739,180.29394943570625,250.45072650373768,77.78255887307739,174.80717613451972,185.6189392949976,2350.550680159864,0.9757919311523438,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
9,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.4970508913968,test_h1_RMSE,85.67339531069432,180.27511527523703,250.32516353734795,85.67339531069432,174.87120260351617,185.06175067393045,2349.3056420993844,0.9757969975471495,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
10,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.5_LSTM_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.60829709545055,test_h1_RMSE,82.71131495202908,180.72291896021375,250.91240534547111,82.71131495202908,175.42497506056543,185.77628515233047,2360.4388363183657,0.9756765961647034,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
11,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.3_TSMixer-lite_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.76971558444484,test_h1_RMSE,85.66117791825974,179.92179833367885,249.74575352996496,85.66117791825974,174.1233342974887,186.5302840693704,2344.517327724408,0.9758917689323424,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
12,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.3_TSMixer-lite_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.0489777146112,test_h1_RMSE,85.28964322933646,179.8452948456673,249.66171644096735,85.28964322933646,174.36804421610628,186.7361315131595,2343.6963327188955,0.9759122729301452,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
13,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.7_LSTM_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.1892709697137,test_h1_RMSE,87.55650798109613,181.9226419559973,252.6343006081122,87.55650798109613,176.40898193190165,184.62650219429491,2380.0115545938006,0.9753525853157043,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
